Date,Manual_EQ_1+2,Manual_EQ_3,Auto_EQ_1,Auto_EQ_2,Auto_IQ_1,Auto_IQ_2,Auto_Pass_1,Auto_Pass_2,EQ_1_Occ,EQ_2_Occ,IQ_1_Occ,IQ_2_Occ,Pass_Occ_1,Pass_Occ_2,Meter_rate_vpm,Queue size,Vehicles on ramp,Total on ramp,Flow out,Flow on
8/17/2020 16:00,8,9,3,1,3,7,4,8,2,1,2,5,8,15,16.66666667,1,0,1,9,17
8/17/2020 16:01,3,3,3,1,1,3,2,5,5,1,3,1,12,13,16.66666667,8,1,9,9,6
8/17/2020 16:02,0,7,4,1,7,10,4,5,3,1,5,9,15,9,16.66666667,6,0,6,9,7
8/17/2020 16:03,4,5,2,1,2,4,4,4,1,1,1,3,9,9,8.333333333,3,1,4,6,9
8/17/2020 16:04,2,8,0,0,0,8,7,5,0,0,0,7,24,25,8.333333333,5,2,7,9,10
8/17/2020 16:05,0,6,2,2,4,5,4,5,1,1,2,3,10,9,8.333333333,5,3,8,10,6
8/17/2020 16:06,6,5,1,1,2,11,6,5,0,1,1,8,10,10,8.333333333,2,2,4,9,11
8/17/2020 16:07,0,3,0,0,0,5,5,4,0,0,0,5,25,10,8.333333333,4,2,6,7,3
8/17/2020 16:08,7,5,3,3,4,8,4,6,2,5,3,7,35,15,8.6,2,0,2,8,12
8/17/2020 16:09,3,2,2,2,1,3,5,7,1,1,1,2,19,8,8.333333333,4,2,6,8,5
8/17/2020 16:10,0,6,2,1,3,9,5,7,1,1,2,7,14,9,8.333333333,3,0,3,8,6
8/17/2020 16:11,7,2,1,2,2,2,3,9,0,1,1,1,6,7,8.333333333,1,0,1,9,9
8/17/2020 16:12,9,8,1,0,0,6,7,3,0,0,0,4,18,10,8.333333333,0,1,1,8,17
8/17/2020 16:13,0,7,3,4,5,4,3,6,2,3,3,3,6,11,20,2,8,10,14,7
8/17/2020 16:14,2,5,6,3,7,10,5,7,5,2,4,8,17,8,20,2,1,3,10,7
8/17/2020 16:15,5,6,0,1,0,7,6,7,0,0,0,6,30,13,8.333333333,0,0,0,9,11
8/17/2020 16:16,0,5,1,0,2,5,8,7,1,0,1,4,16,14,16.66666667,2,0,2,4,5
8/17/2020 16:17,3,4,2,3,3,9,5,6,1,2,2,7,10,13,16.66666667,1,2,3,9,7
8/17/2020 16:18,3,6,0,1,0,6,0,3,0,1,0,4,0,5,16.66666667,1,0,1,8,9
8/17/2020 16:19,0,4,2,1,2,5,8,6,0,0,1,4,26,27,16.66666667,2,0,2,3,4
8/17/2020 16:20,9,2,3,0,3,5,6,4,2,0,2,3,12,5,16.66666667,0,3,3,9,11
8/17/2020 16:21,0,4,0,0,0,5,3,2,0,0,0,3,3,2,16.66666667,5,0,5,7,4
8/17/2020 16:22,10,4,6,3,6,4,4,4,5,4,5,9,15,12,8.333333333,1,1,2,11,14
8/17/2020 16:23,5,3,0,1,0,4,4,4,0,0,0,3,29,15,8.333333333,3,2,5,8,8
8/17/2020 16:24,1,5,6,4,9,9,6,9,6,6,6,9,20,21,13.33333333,1,4,5,11,6
8/17/2020 16:25,6,1,4,2,5,4,4,4,4,1,5,3,9,10,16.66666667,0,0,0,6,7
8/17/2020 16:26,4,7,0,0,0,5,5,10,0,0,0,5,18,13,13.33333333,1,0,1,6,11
8/17/2020 16:27,0,3,3,3,3,4,3,3,2,2,1,3,6,4,13.33333333,4,2,6,9,3
8/17/2020 16:28,5,4,2,2,2,9,4,5,1,1,1,12,12,17,8.333333333,0,0,0,6,9
8/17/2020 16:29,0,1,0,0,0,3,7,5,0,0,0,2,17,9,8.333333333,1,2,3,3,1
8/17/2020 16:30,8,5,3,3,4,7,3,4,2,2,2,5,9,18,16.66666667,0,1,1,10,13
8/17/2020 16:31,2,5,2,2,1,2,1,3,1,1,0,1,2,7,16.66666667,1,3,4,8,7
8/17/2020 16:32,0,9,2,2,3,9,9,7,1,1,2,7,12,11,16.66666667,1,2,3,10,9
8/17/2020 16:33,8,2,2,0,2,4,4,3,1,0,2,3,8,13,16.66666667,1,1,2,11,10
8/17/2020 16:34,4,5,2,2,1,10,7,5,1,2,0,7,9,10,16.66666667,0,1,1,7,9
8/17/2020 16:35,0,6,1,3,5,6,5,6,1,3,3,2,13,30,16.66666667,2,1,3,8,6
8/17/2020 16:36,4,2,0,3,4,5,3,4,0,3,3,6,18,6,11.66666667,0,1,1,7,6
8/17/2020 16:37,4,7,2,1,1,7,5,5,2,1,1,8,16,11,11.66666667,0,0,0,6,11
8/17/2020 16:38,0,4,1,0,2,2,3,4,0,0,1,2,6,23,11.66666667,5,0,5,7,4
8/17/2020 16:39,6,6,8,0,4,12,2,6,8,0,4,11,4,10,8.333333333,1,1,2,9,12
8/17/2020 16:40,0,5,0,0,0,4,6,3,0,0,0,6,24,14,13.33333333,3,2,5,8,5
8/17/2020 16:41,5,4,5,1,5,7,7,5,5,0,4,4,26,9,13.33333333,1,1,2,8,9
8/17/2020 16:42,3,8,1,1,0,5,3,5,0,0,0,4,6,10,13.33333333,3,0,3,11,11
8/17/2020 16:43,1,5,1,1,0,3,5,7,0,0,0,3,10,22,8.333333333,0,3,3,7,6
8/17/2020 16:44,10,4,3,1,3,9,6,7,3,1,2,7,9,8,16.66666667,2,0,2,7,14
8/17/2020 16:45,0,2,0,0,0,4,4,5,0,0,0,3,18,11,16.66666667,9,0,9,7,2
8/17/2020 16:46,5,3,7,3,9,6,3,4,5,2,6,5,6,7,8.333333333,4,0,4,6,8
8/17/2020 16:47,0,3,0,0,0,3,4,4,0,0,0,3,9,9,7.5,5,1,6,8,3
8/17/2020 16:48,4,4,3,2,3,5,5,4,2,1,2,3,8,22,8.333333333,1,0,1,6,8
8/17/2020 16:49,7,6,3,1,2,2,3,6,1,4,1,1,6,8,7.5,3,0,3,8,13
8/17/2020 16:50,0,5,2,0,6,5,3,5,1,0,3,9,5,18,7.5,8,0,8,9,5
8/17/2020 16:51,5,2,4,3,4,9,5,5,4,3,3,6,20,8,10,4,0,4,7,7
8/17/2020 16:52,5,3,0,0,0,5,5,7,0,0,0,5,12,16,10,4,0,4,7,8
8/17/2020 16:53,0,4,4,1,5,3,5,4,3,0,4,4,11,47,8.333333333,4,1,5,7,4
8/17/2020 16:54,4,4,2,3,2,7,3,6,1,3,1,6,4,12,8.333333333,1,1,2,9,8
8/17/2020 16:55,8,3,1,0,0,4,5,6,1,0,0,2,5,17,13.33333333,0,1,1,8,11
8/17/2020 16:56,0,5,4,2,6,6,2,3,2,2,4,4,4,4,8.333333333,4,0,4,4,5
8/17/2020 16:57,4,3,4,4,4,7,2,4,3,3,3,5,3,8,7.5,5,0,5,8,7
8/17/2020 16:58,1,2,8,8,8,8,5,3,4,6,6,6,8,7,7.5,4,0,4,4,3
8/17/2020 16:59,1,2,2,2,4,4,5,4,1,2,2,3,13,18,8.333333333,2,1,3,6,3
8/17/2020 17:00,3,6,1,1,2,2,5,2,1,1,2,1,8,3,8.333333333,0,0,0,5,9
8/17/2020 17:01,0,1,0,0,0,2,3,4,0,0,0,1,13,5,8.333333333,4,0,4,3,1
